;ComplaintType;Complaint;Date;Decision;Report_name;PrimaryKey
3596;Principles and Publications;Complaint of Sh. Manish K. Patel, Baroda against Sandesh, Baroda.;June 7, 1999;Proceedings dropped;AnnualReport2000;3596
3604;Principles and Publications;Complaint of Shri Madhu Paramhans etc., Sant Ashram, Swami Girdranand Paramhans aganist Editor, Daily Excelsior, Jammu.;October 13, 1999;Sub-judice;AnnualReport2000;3604
3635;Press and Defamation;Complaint of Sh. Vimal Mehta, President, Maharishi Dayanand Education Society, Faridabad against Dainik Mazdoor Morcha, Faridabad.;April 6, 1999;Upheld;AnnualReport2000;3635
3642;Press and Defamation;Complaint of Sh. Manoj Kumar Aggarwal against Mahkata Hindustan, Churu, Rajasthan.;April 6, 1999;Dismissed for lack of substance;AnnualReport2000;3642
3661;Press and Defamation;Complaint of Sh. Afaque Ahmad Bari against Chamakta Aaina, Dhanbad.;June 7, 1999;Directions to publish rejoinder.;AnnualReport2000;3661
3663;Press and Defamation;Complaint of Sh. Vinod Kumar Dudani, the then Assistant Commissioner, Commercial Taxes,;Bhagalpur against the Editor, Dainik Aaj, Patna.;Directed to publish clarification;AnnualReport2000;3663
3664;Press and Defamation;Complaint of Sh. Chandra Shekhar Giri, Director, National Educational Council, Patna against;Aryavarta.;Settled;AnnualReport2000;3664
3666;Press and Defamation;;Aryavarta.;Upheld;AnnualReport2000;3666
3668;Press and Defamation;Complaint of Lt. Col. V.K. Bhargava, Principal, Sainik School, Bhubaneswar against Samaya, Bhubaneswar.;Aryavarta.;Dismissed on merits;AnnualReport2000;3668
3670;Press and Defamation;Complaint of Shri I. C. Bahera, OAS (I) Jr. Sub-Collector, Nayagarh against Prajatantra, Cuttack.;Aryavarta.;Directions to publish clarification ;AnnualReport2000;3670
3684;Press and Defamation;Complaint of Devotees of Sri Sri Sri Mahapurusha Achyutananda Ashram, District Khurda against Utkalika.;June 7, 1999;Not pursued;AnnualReport2000;3684
3685;Press and Defamation;Complaint of Mrs. Shashikala R. Gaur, Sister-in- Charge, New Civil Hospital, Surat against Sandesh, Surat.;June 7, 1999;Upheld;AnnualReport2000;3685
3688;Press and Defamation;Complaint of Sr. Thelma Gonsalves, Chairperson, Society for High Education for Women, Sophia College, Mumbai against Mid-Day.;June 7,1999;Directions to publish clarification;AnnualReport2000;3688
3691;Press and Defamation;Complaint of Sh. Anil Gote, President, Samajvadi Janata Party (Maharashtra), Mumbai against Vidarbhache Sattachakra.;June 7,1999;Upheld;AnnualReport2000;3691
3697;Press and Defamation;Complaint of Sh. Kirit Somaiya, President, BJP, Mumbai and Dayanand Nene, Press Secretary, BJP, Mumbai against Akshat Mid-Bombay;June 7, 1999;Upheld;AnnualReport2000;3697
3704;Press and Defamation;Complaint of Sh. M. C. Sharma, Meerut against Amar Ujala, Meerut, U.P.;August 6, 1999;Upheld;AnnualReport2000;3704
3714;Press and Defamation;Complaint of Sh. M. A. Subramaniam, General Secretary, State Transport Employees and General Workers Union Madras against Dinamalar.;August 6,1999;Directions to publish clarification;AnnualReport2000;3714
3715;Press and Defamation;Complaint of Sh. C. Kappusami, President, Labour Progressive Federation, Chennai against Dinamalar.;August 6,1999;Directions to publish clarification;AnnualReport2000;3715
3719;Press and Defamation;Complaint of Sh. G. E. Narayana Gowda, Nehru Yuva Kendra, Bangalore against Hai Bangalore.;August 6,1999;Upheld;AnnualReport2000;3719
3723;Press and Defamation;Complaint of Ms. Mary C. Roy, Kottayam against Outlook.;August 6, 1999;Settled;AnnualReport2000;3723
3731;Press and Defamation;Complaint of Sh. N. Nandhivaraman, General Secretary, Dravida Peravai, Pondicherry against News Today of Chennai.;August 6, 1999;Upheld;AnnualReport2000;3731
3750;Press and Defamation;Complaint of Lt. Col. Karmachandran, PRO The Infantry School. Education Branch Mhow against Chautha Sansar, Indore, M.P.;December 13,1999;Directions to publish regrets;AnnualReport2000;3750
3758;Press and Defamation;Complaint of Sh. Mangat Ram Singhal, Delhi against the Jansatta, New Delhi.;December 13, 1999;Upheld;AnnualReport2000;3758
3759;Press and Defamation;Complaint of Dr. Bharat Singh. Medical Superin-tendent, Lok Nayak Hospital, New Delhi against Jansatta, New Delhi.;December 13, 1999;Upheld;AnnualReport2000;3759
3775;Press and Defamation;Complaint of Shri S. P. Singh, Foreman, Central Workshop, Lok Nirman Vibhag, Lucknow against Dainik Aaj, Lucknow, U.P.;February 14, 2000;Upheld;AnnualReport2000;3775
3788;Communal, Casteist and Anti-National Writings;Complaint of Commissioner of Police, Hyderabad against Siasat, Hyderabad, A.P.;August 6, 1999;Upheld;AnnualReport2000;3788
3792;Communal, Casteist and Anti-National Writings;Complaint of Mr. M. S. S. Ibrahim, Kilakarai (Tamil Nadu) against Dinabhoomi, Madurai.;August 6, 1999;Upheld;AnnualReport2000;3792
3795;Communal, Casteist and Anti-National Writings;Complaint of Sr. Dorothy Beck, Coordinator, Pushpa Kalyan Kendra, Sehore against Furshat Mein Furshat, Sehore.;December 13, 1999;Settled;AnnualReport2000;3795
3800;Press and Morality;Suo-motu inquiry against media matters issue dated September 1998.;April 6, 1999;Settled;AnnualReport2000;3800
3801;Press and Morality;Suo-motu action against Blitz for publishing obscene photograph in the issue dated 18.10.98;June 7, 1999;Upheld;AnnualReport2000;3801
3802;Press and Morality;Suo-motu inquiry against Chastity issue dated April 1998.;February 14, 2000;Upheld;AnnualReport2000;3802
3803;Press and Morality;Suo-motu inquiry against 'Fantasy Fun' issue dated November, 1998.;February 14, 2000;Upheld;AnnualReport2000;3803
3804;Press and Morality;Suo-motu inquiry against 'The Debonair' issue dated March, 1999.;February 14, 2000;Upheld;AnnualReport2000;3804
3805;Press and Morality;"Suo-motu inquiry against ""The Asian Age'.";February 14, 2000;Assurance;AnnualReport2000;3805
3806;Press and Morality;Suo-motu inquiry against The Times of India.;February 14, 2000;Upheld ;AnnualReport2000;3806
3807;Press and Morality;Suo-motu inquiry against The Asian Age, New Delhi;February 14, 2000;Upheld ;AnnualReport2000;3807
3817;Principles and Publications;Complaint of Sh. Radhey Shyam Dantrey, Jalon against Aaj, Kanpur, U.P.;October 10, 1994;Warned;AnnualReport1995;3817
3820;Principles and Publications;Complaint of Sh. Ashok Kumar Gupta, Chief Editor, Golden Punjab against Jansatta, Chandigarh.;October 10, 1994;Regret expressed (Dismissed with observations);AnnualReport1995;3820
3822;Principles and Publications;Complaint of Sh. T. P. Thomas regarding misleading advts.;October 10, 1994;Displeasure expressed;AnnualReport1995;3822
3828;Press and Defamation;Complaint of Mrs. Manali Singhal and Sh. Ravi Singhal against Inde-pendent, Bombay.;May 16, 1994;Warned;AnnualReport1995;3828
3833;Press and Defamation;Complaint of Miss Malati. V. Kes-kar of Govt. Medical College, Miraj against Daily Atikeri, Miraj,;Maharashtra.;Disposed of with observations.;AnnualReport1995;3833
3834;Press and Defamation;Complaint of Sh. Mahendra Kumar, Proprietor, Shankar Namkeen Bhan-dar, Saharanpur against Chhintey Aur Bouchcharey, Saharanpur.;Maharashtra.;Censured (11th time);AnnualReport1995;3834
3835;Press and Defamation;Complaint of Sh. Paritosh Chakravar-ty, Dy. Public Relations Manager, SECL, Bilaspur against Veer Chhatis-garh, Korba (M.P.);Maharashtra.;Censured;AnnualReport1995;3835
3847;Press and Defamation;Complaint of Sh. R. Chander Kureel, G. M., District Industrial Centre, Malanpur, Gwalior against Saptahik Chambal Chetna, Gwalior.;August 1, 1994;Censured;AnnualReport1995;3847
3849;Press and Defamation;Complaint of Asstt. General Manager (F&A), State Bank of Indore against Indore Samachar of Indore.;August 1, 1994;Warned/Contradiction directed;AnnualReport1995;3849
3851;Press and Defamation;Complaint of Sh Mukand Ballabh Sharma of Manglam Gas Service of Rajasthan against Bhor, Hindi daily of Rajasthan.;August 1, 1994;Contradiction directed;AnnualReport1995;3851
3869;Press and Defamation;Complaint of Sh. Rajesh Kumar, M.P. (Lok Sabha) against Jansatta, Delhi.;October 10, 1994;Contradiction directed;AnnualReport1995;3869
3880;Press and Defamation;Complaint of Sh. Laxman Singh Solanki, Metropolitan Magistrate, Karkardooma Courts, Delhi against Jansatta, New Delhi.;October 10, 1994;Dismissed for non-prosection;AnnualReport1995;3880
3886;Press and Defamation;Complaint of Aravali Alloys, His-sar against Punjab Kesari, Jalandhar;October 10, 1994;Matter closed upon assurance;AnnualReport1995;3886
3887;Press and Defamation;Complaint of Sh. Satya Pal Dang, Ex-MLA, Amritsar against Daily Ajit, Jalandhar.;October 10, 1994;Warned;AnnualReport1995;3887
3888;Press and Defamation;Complaint of Sh. S. C. Kakar, MD, ODCL, Bhubaneswar against UT In-dependent, New Delhi.;October 10, 1994;Warned;AnnualReport1995;3888
3906;Press and Defamation;Complaint of Sh. P. P. Kapoor, Con-venor, Janwadi Youth Sabha, Panipat against Panchajanya, New Delhi.;October 10, 1994;Sub-judice;AnnualReport1995;3906
3908;Principles and Publications;Complaint of Shri Jayanta Deka, Advocate and others, Mangaldai, Assam against Asomiya Pratidin, Guwahati, Assam ;October 14, 2008;Censured;AnnualReport2009;3908
3911;Principles and Publications;Complaint of Smt. Karabi Guwahati Dutta, against Guwahati, the Amar Asom, Assam ;October 14, 2008;Assurance ;AnnualReport2009;3911
3913;Principles and Publications;Complaint of Smt. Karabi Guwahati Dutta, against the Dainik Guwahati, Agradoot, Assam ;October 14, 2008;Assurance ;AnnualReport2009;3913
3914;Principles and Publications;Complaint of Smt. Karabi Guwahati Dutta, against Assam the Aji, Guwahati,;October 14, 2008; Assurance;AnnualReport2009;3914
3920;Principles and Publications;Complaint of Shri Binod Kumar Sinha, Ramgarh Cantt., Jharkhand against Saras Salil, New Delhi ;October 14, 2008;Dismissed;AnnualReport2009;3920
3948;Press and Defamation ;Complaint of Shri Ranjit Gogoi, Liaison Officer, Chief Minister's Public Relations Cell, Government of Assam, Dispur against Asomiya Pratidin, Guwahati, Assam;October 14, 2008 ;Upheld;AnnualReport2009;3948
3950;Press and Defamation ;Complaint of Dr. Hemendra Kumar Borah, Hony. Secretary, Indian Medical Association, Tezpur against Dainik Agradoot, Guwahati ;October 14, 2008 ;Disposed of ;AnnualReport2009;3950
3955;Press and Defamation ;Complaint of Shri Pateshweri Singh, Lecturer, Maharana Pratap Poly- technic, Gorakhpur against Chetna Vichardhara, Gorakhpur, Uttar Pradesh;October 14, 2008 ;Withdrawn;AnnualReport2009;3955
3959;Press and Defamation ;Complaint of Prof. Himadri Regional Datta, Institute Medical of Ophthamology College, Kolkata Sangbad against Pratidin, Kolkata ;October 14, 2008 ;Settlement;AnnualReport2009;3959
3961;Press and Defamation ;Complaint ofFather Thomas, Principal, St. Mary's School, Bhadohi, Uttar Pradesh against the Editor, Jan Aukat, Bhadohi, Uttar Pradesh;October 14, 2008 ; Warned;AnnualReport2009;3961
4013;Principles and Publications;Complaint of Ms. Deepa Joshi, Principal, National English School, Allahabad against Amar Ujala, Allahabad.;September 22,2003;Disposed of with directions;AnnualReport2004;4013
4017;Principles and Publications;;March 17,2004;Dismissed being devoid of merit;AnnualReport2004;4017
4018;Principles and Publications;Complaint of Shr Mathews Philip,Executive Director, South India Cell for Human Rights Education & Monitoring, Bangalore against Hai Bangalore;March 17,2004;Warned;AnnualReport2004;4018
4020;Principles and Publications;Complaint of Shri M. Rama Rao, Hubli, Karnataka against Sanyuktha Karnataka, Hubli;March 17,2004;Disposed of with direction;AnnualReport2004;4020
4022;Principles and Publications;Complaint of Shri S.K. Gupta, Rani Talab, ; Jind against Dainik Jagran ;Warned;AnnualReport2004;4022
4025;Principles and Publications;Complaint of Director, Hotel Shahenshah Palace, Kashmir against Greater Kashmir ; Jind against Dainik Jagran ;Directions;AnnualReport2004;4025
4026;Principles and Publications;Complaint of Shri M.Siva Kumar, Works Manager, Gun Carriage Factory,;Jabalpur against Dainik Bhaskar, Jabalpur;Directions;AnnualReport2004;4026
4030;Press and Defamation;Complaint of Shri M. Mohan Raj, IGP (Law & Order) Assam, Guwahati against (i) Asomiya Khabar and (ii) Pratidin, Guwahati;September 22, 2003;Amends made;AnnualReport2004;4030
4031;Press and Defamation;Complaint of Shri M. Mohan Raj, IGP (Law & Order) Assam, Guwahati against (i) Asomiya Khabar and (ii) Pratidin, Guwahati;September 22, 2003;Amends made;AnnualReport2004;4031
4032;Press and Defamation;Complaint of Shri M. Mohan Raj, IGP (Law & Order) Assam, Guwahati against (i) Asomiya Khabar and (ii) Pratidin, Guwahati;September 22, 2003;Amends made;AnnualReport2004;4032
4034;Press and Defamation;Complaint of Shri Alok Perti, IAS. former Commissioner & Secretary, Government of Assam against Pratidin, Guwahati;September 22,2003;Directions to publish rejoinder;AnnualReport2004;4034
4039;Press and Defamation;Complaint of Miss Pratibha Chauhan, Asstt. Professor, Deptt. of Economics, Maharani Laximbai Art & Commerce College, Gwalior, M.P. against Navbharat, Gwalior;September 22,2003;Regret expressed;AnnualReport2004;4039
4043;Press and Defamation;Complaint of Dr. Ranjit Mishra, Patna against Hindustan Dainik, Patna;September 22, 2003;Warned;AnnualReport2004;4043
4051;Press and Defamation;Complaint of Shri A.C: Batra, hairman, Shri Adya Katyayani Shaktipith Temple Trust, New Delhi against Pioneer, New Delhi;September 22, 2003;Directions to publish clarification;AnnualReport2004;4051
4063;Press and Defamation;Complaint of Shri B.S. Bharmolia, Mandi, Himachal Pradesh against Punjab Kesari, Jalandhar;September 22, 2003;Dismissed being devoid of merit;AnnualReport2004;4063
4065;Press and Defamation;Complaint of Shri Mihir K umar Singh, with District Magistrate, Kaimur Editor, Times of India, Patna;September 22, 2003;Disposed of against the observations;AnnualReport2004;4065
4068;Press and Defamation;Complaint of Dr. Prof. R.B. Singh, Principal, B.H.M. College, Lakhisarai against Hindustan, Bhagalpur;September 22, 2003;Dismissed;AnnualReport2004;4068
4070;Press and Defamation;Complaint of the District Magistrate, Purvi Champaran, Motihari, Bihar against Hindustan, Patna;September 22, 2003;Dismissed being devoid of merit;AnnualReport2004;4070
4072;Press and Defamation;Complaint of Shri Pradeep Kumar Srivastava, S.P. Deogarh against Hindustan, Ranchi and Hindustan, Patna ;September 22, 2003;Amends made;AnnualReport2004;4072
4073;Press and Defamation;Complaint of Shri Pradeep Kumar Srivastava. S.P. Deogarh against Hindustan, Ranchi and Hindustan, Patna;September 22, 2003;Amends made;AnnualReport2004;4073
4078;Press and Defamation;Complaint of Ms. Awantika Chitnavis, Nagpur against The Hitvada, Nagpur;November 17, 2003;Disposed of being outside jurisdiction;AnnualReport2004;4078
4079;Press and Defamation;Complaint of Shri Debashish Basu, Director,Kensource Information Services (P) Ltd, Mumbai against The Asian Age, New Delhi;November 17, 2003;Disposed of with directions;AnnualReport2004;4079
4082;Press and Defamation;Complaint of Shri Shivlal Daga, Mumbai against Mid-Day, Mumbai;November 17, 2003;Directions to publish clarification;AnnualReport2004;4082
4084;Press and Defamation;Complaint of Shri G.D. Inamdar, Retd., Judge, Solapur, (Maharashtra) against Lokmat, Solapur, Maharashtra;November 17, 2003;Directions to publish clarification;AnnualReport2004;4084
4085;Press and Defamation;Complaint of Dr. (Mrs.) S.R. Gokhle, Raigad (Maharashtra) against Daily Kulaba Shivte, Maharashtra;November 17, 2003;Directions to publish clarification;AnnualReport2004;4085
4086;Press and Defamation;Complaint of Li. Col. S.N. Upadhyaya, Commanding Officer, 53 Maharashtra Bn NCC, Latur (Maharashtra) against Latur Ki Awaj, Latur;November 17, 2003;Upheld ;AnnualReport2004;4086
4087;Press and Defamation;Complaint of Shri Satishchandra Dalal, Surat, Gujarat against Sandesh, Surat edition;November 17, 2003;Disposed of with directions;AnnualReport2004;4087
4089;Press and Defamation;Complaint of Shri Haji Usmangani Rizvi. President, Amin-e-Shariat, Education Trust, Jamnagar, Gujarat against The Week, Cochin;November 17, 2003;Directions to publish rebuttal;AnnualReport2004;4089
4095;Press and Defamation;Complaint of Shri H.L. Srikanthaiah, Minister for Revenue, Government of Karnataka, Bangalore against Hai Bangalore;March 17, 2004;Withdrawn as settled;AnnualReport2004;4095
4096;Press and Defamation;Complaint of Shri Basavangouda Patil, Minister of Textiles against Hai Bangalore;March 17, 2004;Withdrawn as settled;AnnualReport2004;4096
4097;Press and Defamation;Complaint of Smt. Motamma, Minister for Women & Children Welfare, Government of Karnataka, Bangalore against Hai Bangalore;March 17, 2004;Withdrawn as settled;AnnualReport2004;4097
4098;Press and Defamation;Complaint of Shri K.B. Koliwad, Minister for Rural Water Supply, Government of Karnataka, Bangalore against Hai Bangalore;March 17, 2004;Withdrawn as settled;AnnualReport2004;4098
4099;Press and Defamation;Complaint of Shri B. Srikantappa, Superintendent of Police, Haveri against Hai Bangalore;March 17, 2004;Admonished;AnnualReport2004;4099
4100;Press and Defamation;Complaint of Shri P.M. Pemmaiah, Assistant Commissioner of Police, Ulsoor Gate Sub Division, Bangalore against Hai Bangalore;March 17, 2004;Admonished;AnnualReport2004;4100
4101;Press and Defamation;Complaint of Shri Radhakrishna, Bangalore against Hai Bangalore;March 17, 2004;Admonished;AnnualReport2004;4101
4102;Press and Defamation;Complaint of Shri Suresh Naidu, ACP, Madivala Sub Division against Hai Bangalore;March 17, 2004;Admonished;AnnualReport2004;4102
4103;Press and Defamation;Complaint of Shri S.D. Siddalinga Swamy, Executive Director, HMT Watch Division, Bangalore against Hai Bangalore;March 17,2004;Withdrawn as settled;AnnualReport2004;4103
4104;Press and Defamation;Complaint of Shri R.B. Deshpande, Belgaum, Karnataka against Hai Bangalore;March 17,2004;Directions to publish clarification;AnnualReport2004;4104
4105;Press and Defamation;Complaint of Shri Ravindranath Tagore, IPS, Inspector General of Police, Central Range, Bangalore against Hai Bangalore;March 17,2004;Dismissed being sub-judice;AnnualReport2004;4105
4106;Press and Defamation;Complaint of the Chairman, Ayurveda Vidyalaya Samiti, Bijapur against Bangalore, Bangalore;March 17,2004;Admonished;AnnualReport2004;4106
4110;Press and Defamation;Complaint of Shri K.K. Naik. Shri Satya Sai Education Association, Prijapur, Karnataka against Kannda Kogile;March 17,2004;Disposed of with directions;AnnualReport2004;4110
4111;Press and Defamation;Complaint of Shri Mohd. Isac, Kundapura, Karnataka against Kunda Prabha, Kundapura;March 17,2004;Disposed of;AnnualReport2004;4111
4119;Press and Defamation;Complaint of Shri S.A. Abdul Salam, Kerala against Madhyamam, Kozhikode, Kerala;March 17,2004;Dismissed;AnnualReport2004;4119
4120;Press and Defamation;Complaint of Shri Pratap Ramdas, Manager, Tata Tea Ltd., Kerala against Madhyamam. Kozhikode, Kerala;March 17,2004;Cautioned;AnnualReport2004;4120
4121;Press and Defamation;Complaint of Shri R. Raveendran, Advocate, Kerala against Crime, Kozhikode, Kerala;March 17,2004;Disposed of with directions;AnnualReport2004;4121
4126;Press and Defamation;Complaint of Smt. Abhilasha Bisht, IPS, S.P. Cuddapah, Andhra Pradesh against Vartha, Cuddapa, Andhra Pradesh;March 17, 2004;Directions;AnnualReport2004;4126
4130;Press and Defamation;Complaint of Shri S.K. Das, S.E. (Excv.) Chandrapur, Maharashtra against Vidharbh Chandika, Nagpur, Maharashtra;March 17, 2004;Upheld;AnnualReport2004;4130
4145;Press and Defamation;Complaint of Laureate Education Society, Bharari Shimla, H.P. against Divya Himachal, Shimla;March 17, 2004;Warned;AnnualReport2004;4145
4146;Press and Defamation;Complaint of Shri Harbans Singh, Executive Engineer, Kathua, J&K against Glimpses of Future, Jammu;March 17, 2004;Directions;AnnualReport2004;4146
4148;Press and Defamation;Complaint of Shri Subhash Chander Jain, Ghaziabad against Sankalp, Ghaziabad;March 17, 2004;Directions;AnnualReport2004;4148
4180;Press and Defamation;Complaint of Dr. Sadasukhi Soni, Katni, M.P. against Navbharat, Jabalpur;DirectionsMarch;Dismissed;AnnualReport2004;4180
4189;Communal, Casteist and Anti-National Writings;Complaint of Dr. Shujaat Vali, Lara Mother Health Care Centre, Godhra, Gujarat against Sandesh;June 30, 2003;Censured;AnnualReport2004;4189
4190;Communal, Casteist and Anti-National Writings;Complaint of Shri Usman Haji Ahmed Qurayshi, General Secretary, Forum for Social Justice, Ahmedabad against Sandesh;June 30, 2003;Censured;AnnualReport2004;4190
4192;Communal, Casteist and Anti-National Writings;Complaint of Shri Shahabuddin, President, All India Muslim Majliees-E-Mushwarat, New Delhi against Sandesh;June 30, 2003;Censured;AnnualReport2004;4192
4193;Communal, Casteist and Anti-National Writings;Complaint of Dr. Shakeel Ahmad, Administrator, IRCG-Cell for Legal Help and Guidance, Ahmedabad against Sandesh;June 30, 2003;Censured;AnnualReport2004;4193
4195;Communal, Casteist and Anti-National Writings;Memorandum from Citizens of Ahmedabad regarding spreading of violence through print media in Gujarat against Sandesh;June 30, 2003;Censured;AnnualReport2004;4195
4196;Communal, Casteist and Anti-National Writings;Objectionable clippings relating to Gujarat riots for suo-motu action against Vishva Hindu Samachar, Hindustan Times, Dainik Jagran, The Telegraph, Asian Age, Rashtriya Sahara and The Mainstream;June30, 2003;Disposed of with observations;AnnualReport2004;4196
4197;Communal, Casteist and Anti-National Writings;Reference from an anonymous complainant regarding publication of an objectionable photograph in The Hindustan Times, New Delhi;June30, 2003;Disposed of with observations;AnnualReport2004;4197
4199;Communal, Casteist and Anti-National Writings;Complaint of Maj. General Don Patrick (Retired) Ooty, Tamil Nadu against Hindu.;June30, 2003;Amends made;AnnualReport2004;4199
4212;Communal, Casteist and Anti-National Writings;Complaint of Shri B. Sultan Abdul Khader, Pondicherry against Junior Vikalan, Chennai;March17, 2004;Dismissed;AnnualReport2004;4212
4213;Communal, Casteist and Anti-National Writings;Complaint of Shri Syed Anwar and Others resident of Kortala representing Muslim Community, Andhra Pradesh against Eenadu;March17, 2004;Dismissed;AnnualReport2004;4213
4214;Press and Morality;Complaint of Ms. Chitra Phuloria, New Delhi against Femina, Mumbai;September 22, 2003;Warned;AnnualReport2004;4214
4216;Press and Morality;Suo-motu action against The Hindustan Times New Delhi for publication of classified advertisements of health/physical fitness services using undignified languages, indicative of covert soliciting;September 22, 2003;Closed in view of corrective steps;AnnualReport2004;4216
4217;Press and Morality;Suo-motu action against The Times of India, New Delhi for publication of classified advertisements of health/physical fitness services using undignified languages, indicative of covert soliciting;September 22, 2003;Advise;AnnualReport2004;4217
4218;Press and Morality;Complaint of Shri Neelkanth Paratkar, General Secretary, The Brihanmumbai Union of Journalists, Mumbai against Mid Day, Mumbai;November 17, 2003;Reprimanded;AnnualReport2004;4218
4219;Press and Morality;Complaint of Shri K.S. Ubale, Vice-President, Grahak Panchayat, Nagpur against Daily Loksatta, Nagpur, Maharashtra;November 17, 2003;Observations;AnnualReport2004;4219
4220;Press and Morality;Complaint of Shri K.K.V. Kurup, Mumbai against Mid Day, Mumbai;March 17, 2004;Disposed of being sub-judice;AnnualReport2004;4220
4221;Press and Morality;Complaint of Ms. Jyotsana Chatterji, Director, Joint Women Programme, New Delhi against Outlook;March 17, 2004;Admonished;AnnualReport2004;4221
4224;Principles and Publications;Complaint of Smt. S. Bhalla, Principal, Maitreyi College, N.D. against Hindustan, N.D.;June 30, 1993;Contradiction published-No action;AnnualReport1994;4224
4227;Principles and Publications;Complaint of Sh. B.K. Tiwari, Execu-tive Editor, 'Deshbandhu', Raipur against Navabharat, Raipur M.P.;June 30, 1993;Observations (guidelines reiterated);AnnualReport1994;4227
4229;Principles and Publications;Complaint of the Director, ICAT, Govt. of Tripura, Agartala against Dainik Sambad, Agartala.;June 30, 1993;Dismissed as withdrawn;AnnualReport1994;4229
4230;Principles and Publications;Complaint of Sh. P.R. Meena, DCP, Central Zone, Delhi Police, against Rashtriya Sahara, N.D.;June 30, 1993;Disposed with observations;AnnualReport1994;4230
4244;Principles and Publications;Complaint of Sh. Pradeep Kumar Jain, Sri Panchayati Gaushala, Hapur, U.P. against Amar Ujala, Meerut.;January 24, 1994;Settlement;AnnualReport1994;4244
4245;Principles and Publications;Complaint of Nakkeeran, Tamil week-ly, Madras against India Today, Tamil and English editions, New Delhi.;January 24, 1994;Disposed;AnnualReport1994;4245
4255;Principles and Publications;Complaint of the Secretary, Krishi Export Commercial Corporation, Varanasi against Samachar Jyoti, Varasani.;January 24, 1994;Disposed with observations;AnnualReport1994;4255
4258;Principles and Publications;Complaint of Sh. V. Ramananda Sarma, Madras against Sunday-English weekly, Calcutta.;March 28, 1994;Dismissed;AnnualReport1994;4258
4259;Principles and Publications;Complaint of Sh. Kailash Madvaiya, General Secretary, All India Bun-delkhand Sahiyta and Sanskrit Council, Bhopal against Dainik Orchha Times of Tikamgarh.;March 28, 1994;Respondent agrees to publish rejoinder;AnnualReport1994;4259
4266;Communal, Casteist and Anti-National Writings;Complaint of Deputy Director (Liaison), Army Welfare Housing Organisation, New Delhi against I.E., Chandigarh.;March 28, 1994;Rejoinder directed;AnnualReport1994;4266
4270;Communal, Casteist and Anti-National Writings;Complaint of Sh. Niranjanlal Shar-ma against Bahujan Sangharsh, Delhi.;June 30, 1993;Upheld (censured);AnnualReport1994;4270
4271;Communal, Casteist and Anti-National Writings;Complaint of Bharatiya Lekhak Patrakar Sangh, Bombay against Bahujan Sangharsh, Delhi.;June 30, 1993;Upheld (censured);AnnualReport1994;4271
4274;Communal, Casteist and Anti-National Writings;Complaint of President, Dr. Ambedkar Seva Samiti and 24 others, Rajnandgaon against Nandgaon Times, Rajnandgaon (M.Ρ.);September 20, 1993;Censured;AnnualReport1994;4274
4295;Press and Defamation;Complaint of Sh. Ram Kripal against Editor Swatantra Chetna, Lucknow.;June 30, 1993;Censured;AnnualReport1994;4295
4301;Press and Defamation;Complaint of Pt. Prithviraj Dwivedi, Editor, Trikal Jyoti, Balotara against Long Post, Balotara.;June 30, 1993;Dismissed-out-side charter;AnnualReport1994;4301
4302;Press and Defamation;Complaint of Pt. Prithviraj Dwivedi, Editor, Trikal Jyoti, Balotara against Marichika, Balotara.;June 30, 1993;Dismissed-out-side charter;AnnualReport1994;4302
4304;Press and Defamation;Complaint of M/S Shankar Namkeen Bhandar, Saharanpur against Chhintay Aur Bouchharay, Saharanpur, U.P.;June 30, 1993;Upheld (Censured);AnnualReport1994;4304
4305;Press and Defamation;Complaint of M/s. Shankar Namkeen Bhandar Saharanpur against Chhintay Aur Boucharay, Saharanpur, U.P.;June 30, 1993;Censured;AnnualReport1994;4305
4306;Press and Defamation;Complaint of M/s. Shankar Namkeen Bhandar Saharanpur against Chhintay Aur Boucharay, Saharanpur, U.P.;June 30, 1993;Censured;AnnualReport1994;4306
4307;Press and Defamation;Complaint of Sh. H.P. Gaur, Factory Manager, Star Paper Mills Ltd., Saharanpur against Chhintay Aur Bouchharay, Saharanpur.;June 30, 1993;Censured;AnnualReport1994;4307
4308;Press and Defamation;Complaint of Indian Institute of Tech-nology, Kanpur against Amar Ujala, Kanpur, U.P.;June 30, 1993;Censured;AnnualReport1994;4308
4309;Press and Defamation;Complaint of Manager, Janata Janar-dan Inter College, Muzaffarnagar, against Amar Ujala, Meerut, U.P.;June 30, 1993;Disposed with Observations;AnnualReport1994;4309
4311;Press and Defamation;Complaint of Sh. Shankar Lal Saini Managing Director, Saini News Ser-vice, Sardarshahr (Rajasthan) against Rashtradoot, Jaipur (Raj.);June 30, 1993;Disposed with Observations;AnnualReport1994;4311
4329;Press and Defamation;Complaint of Dr. P.S. Jain against I.E., New Delhi.;September 20, 1993;Dismissed;AnnualReport1994;4329
4335;Press and Defamation;Complaint of G.M., Ordnance Factory, Hazaratpur (Tundla) against Hindi weekly, Brij Samrat.;September 20, 1993;Warned;AnnualReport1994;4335
4344;Press and Defamation;Complaint of Km. Ruchi Singh of Al-lahabad against Aaj, Allahabad edi-tion.;September 20, 1993;Warned;AnnualReport1994;4344
4346;Press and Defamation;Complaint of Sh. Rajni Ranjan Prasad, DM, Katihar (Bihar) against Aaj, Patna.;September 20, 1993;Contradiction directed;AnnualReport1994;4346
